linenr,linename
  1,WARSZAWA ZACHODNIA - KATOWICE
  2,WARSZAWA ZACHODNIA - TERESPOL
  3,WARSZAWA ZACHODNIA - KUNOWICE
  4,GRODZISK MAZOWIECKI - ZAWIERCIE
  6,ZIELONKA - KUèNICA BIA£OSTOCKA
  7,WARSZAWA WSCHODNIA OSOBOWA - DOROHUSK
  8,WARSZAWA ZACHODNIA - KRAK”W G£”WNY
  9,WARSZAWA WSCHODNIA OSOBOWA - GDA—SK G£”WNY
 10,LEGIONOWO - T£USZCZ
 11,SKIERNIEWICE - £OWICZ G£”WNY
 12,SKIERNIEWICE - £UK”W
 13,KRUSZE - PILAWA
 14,£”Dè KALISKA - TUPLICE
 15,BEDNARY - £”Dè KALISKA
 16,£”Dè WIDZEW - KUTNO
 17,£”Dè FABRYCZNA - KOLUSZKI
 18,KUTNO - PI£A G£”WNA
 19,WARSZAWA G£”WNA TOWAROWA - J”ZEFIN”W
 20,WARSZAWA G£”WNA TOWAROWA - WARSZAWA PRAGA
 21,WARSZAWA WILE—SKA - WO£OMIN S£ONECZNA
 22,TOMASZ”W MAZOWIECKI - RADOM G£”WNY
 23,"WARSZAWA G£”WNA OSOBOWA - WARSZAWA ZACHODNIA T2/1G, 12/2G"
 24,PIOTRK”W TRYBUNALSKI - ZARZECZE
 25,£”Dè KALISKA - D BICA
 26,£UK”W - RADOM G£”WNY
 27,NASIELSK - TORU— WSCHODNI
 28,WIELISZEW - ZEGRZE PO£UDNIOWE
 29,T£USZCZ - OSTRO£ KA
 30,£UK”W - LUBLIN P”£NOCNY
 31,SIEDLCE - SIEMIAN”WKA
 32,CZEREMCHA - BIA£YSTOK
 33,KUTNO - BRODNICA
 34,OSTRO£ KA - MA£KINIA
 35,OSTRO£ KA - SZCZYTNO
 36,OSTRO£ KA - £APY
 37,BIA£YSTOK - ZUBKI BIA£OSTOCKIE
 38,BIA£YSTOK - G£OMNO
 39,OLECKO - SUWA£KI
 40,SOK”£KA - SUWA£KI
 41,E£K - GO£DAP
 42,"WARSZAWA G£”WNA OSOBOWA - WARSZAWA SZCZ åLIWICE T610/202/3,2/68"
 43,CZEREMCHA - BRZEå∆
 44,MIKO£AJ”W - REGNY
 45,"WARSZAWA WSCHODNIA OSOBOWA - WARSZAWA GROCH”W T1G,2G"
 46,"WARSZAWA ZACHODNIA - WARSZAWA CZYSTE T201,2S"
 49,åNIADOWO - £OMØA
 51,SUWA£KI - TRAKISZKI
 52,LEWKI - NIEZNANY B”R
 53,TOMASZ”W MAZOWIECKI - SPA£A
 55,SOKO£”W PODLASKI - SIEDLCE
 57,KUèNICA BIA£OSTOCKA - GENIUSZE (SZ)
 59,GRANICA PA—STWA (SVISLAC) - ZAB£OTCZYZNA (SZ)
 60,KOBYLANY - TERESPOL (SZ)
 61,KIELCE - FOSOWSKIE
 62,TUNEL - SOSNOWIEC G£”WNY
 63,DOROHUSK - ZAWAD”WKA NAFTOBAZA (SZ)
 64,KOZ£”W - KONIECPOL
 66,ZWIERZYNIEC TOWAROWY - STALOWA WOLA PO£UDNIE
 67,LUBLIN G£”WNY - åWIDNIK
 68,LUBLIN G£”WNY - PRZEWORSK
 69,REJOWIEC - HREBENNE
 70,W£OSZCZOWICE - CHMIEL”W
 71,OCICE - RZESZ”W G£”WNY
 72,ZAWADA - HRUBIESZ”W MIASTO
 73,SITK”WKA NOWINY - BUSKO ZDR”J
 74,SOB”W - STALOWA WOLA ROZWAD”W
 75,RYTWIANY - PO£ANIEC
 76,B•KOWIEC - KOZIENICE
 77,JANIK”W - åWIERØE G”RNE
 78,SANDOMIERZ - GR B”W
 79,PADEW - WOLA BARANOWSKA
 81,CHE£M - W£ODAWA
 82,B•KOWIEC - PU£AWY AZOTY
 83,ZAWADA - ZAMOå∆ BORTATYCZE
 90,ZEBRZYDOWICE - CIESZYN
 91,KRAK”W G£”WNY - MEDYKA
 92,PRZEMYåL G£”WNY - MEDYKA (SZ)
 93,TRZEBINIA - ZEBRZYDOWICE
 94,KRAK”W P£ASZ”W - OåWI CIM
 95,KRAK”W MYDLNIKI - POD£ ØE
 96,TARN”W - LELUCH”W
 97,SKAWINA - ØYWIEC
 98,SUCHA BESKIDZKA - CHAB”WKA
 99,CHAB”WKA - ZAKOPANE
100,KRAK”W MYDLNIKI - KRAK”W BIEØAN”W
101,MUNINA - HREBENNE
102,PRZEMYåL G£”WNY - MALHOWICE
103,TRZEBINIA - WADOWICE
104,CHAB”WKA - NOWY S•CZ
