linenr,kilometer,postid
  1,3.082,1
  1,6.804,2
  1,12.088,3
  1,15.891,4
  1,29.548,5
  1,35.032,6
  1,40.468,7
  1,43.141,8
  1,50.033,9
  1,51.959,10
  1,54.92,11
  1,55.404,12
  1,60.779,13
  1,65.926,14
  1,71.355,15
  1,75.372,16
  1,80.131,17
  1,84.71,18
  1,89.822,19
  1,92.345,20
  1,95.723,21
  1,99.619,22
  1,105.194,23
  1,111.011,24
  1,114.176,25
  1,118.651,26
  1,123.399,27
  1,129.944,28
  1,133.825,29
  1,138.545,30
  1,144.242,31
  1,150.389,32
  1,156.555,33
  1,159.433,34
  1,162.533,35
  1,166.718,36
  1,171.66,37
  1,175.004,38
  1,177.694,39
  1,183.452,40
  1,189.133,41
  1,194.756,42
  1,200.525,43
  1,202.758,44
  1,208.201,45
  1,210.606,46
  1,217.7,47
  1,222.755,48
  1,225.816,49
  1,229.745,50
  1,232.527,51
  1,233.5,52
  1,239.158,53
  1,245.85,54
  1,246.95,55
  1,250.787,56
  1,254.088,57
  1,257.525,58
  1,261.016,59
  1,263.442,60
  1,266.37,61
  1,270.3,62
  1,274.227,63
  1,280.654,64
  1,284.313,65
  1,286.557,66
  1,289.202,67
  1,292.896,68
  1,295.398,69
  1,296.726,70
  1,300.267,71
  1,302.077,72
  1,304.385,73
  1,305.524,74
  1,309.544,75
  1,312.91,76
  1,315.653,77
  1,318.378,78
  2,-2.619,1
  2,0.0,79
  2,4.254,80
  2,5.988,81
  2,7.711,82
  2,11.753,83
  2,16.385,84
  2,18.183,85
  2,19.989,86
  2,21.567,87
  2,25.664,88
  2,28.813,89
  2,31.317,90
  2,32.661,91
  2,35.8,92
  2,40.595,93
  2,43.087,94
  2,46.143,95
  2,50.397,96
  2,50.404,97
  2,53.784,98
  2,58.685,99
  2,63.805,100
  2,68.76,101
  2,72.128,102
  2,77.428,103
  2,77.941,104
  2,85.345,105
  2,89.863,106
  2,92.694,107
  2,95.414,108
  2,96.73,109
  2,97.335,110
  2,100.333,111
  2,102.88,112
  2,107.22,113
  2,107.957,114
  2,109.954,115
  2,112.678,116
  2,120.448,117
  2,122.506,118
  2,128.086,119
  2,131.554,120
  2,131.68,121
  2,136.063,122
  2,141.677,123
  2,148.657,124
  2,154.297,125
  2,157.414,126
  2,160.49,127
  2,160.7,128
  2,168.07,129
  2,172.863,130
  2,174.995,131
  2,180.806,132
  2,183.604,133
  2,188.896,134
  2,194.714,135
  2,197.784,136
  2,199.92,137
  2,201.687,138
  2,202.048,139
  2,204.024,140
  2,209.28,141
  2,211.657,142
  3,3.082,1
  3,6.804,2
  3,8.993,143
  3,10.719,144
  3,15.384,145
  3,21.369,146
  3,21.978,147
  3,28.684,148
  3,31.118,149
  3,34.318,150
  3,38.534,151
  3,41.942,152
  3,47.008,153
  3,54.315,154
  3,58.725,155
  3,62.074,156
  3,65.157,157
  3,67.47,158
  3,72.327,159
  3,75.783,160
  3,76.893,161
  3,80.649,162
  3,86.938,163
  3,93.38,164
  3,99.7,165
  3,107.106,166
  3,115.866,167
  3,120.61,168
  3,122.05,169
  3,125.903,170
  3,134.608,171
  3,138.78,172
  3,148.264,173
  3,157.62,174
  3,163.832,175
  3,166.107,176
  3,175.657,177
  3,181.75,178
  3,187.834,179
  3,204.496,180
  3,206.557,181
  3,211.636,182
  3,215.818,183
  3,221.612,184
  3,224.497,185
  3,232.8,186
  3,236.869,187
  3,240.819,188
  3,245.213,189
  3,248.407,190
  3,253.293,191
  3,262.729,192
  3,268.403,193
  3,274.38,194
  3,281.277,195
  3,285.79,196
  3,291.618,197
  3,294.112,198
  3,294.954,199
  3,298.997,200
  3,301.577,201
  3,304.656,202
  3,309.155,203
  3,312.209,204
  3,312.846,205
  3,318.278,206
  3,323.501,207
  3,329.408,208
  3,334.137,209
  3,338.585,210
  3,343.376,211
  3,351.149,212
  3,357.09,213
  3,362.041,214
  3,366.964,215
  3,371.895,216
  3,379.335,217
  3,382.754,218
  3,385.628,219
  3,387.742,220
  3,396.495,221
  3,402.084,222
  3,407.344,223
  3,412.454,224
  3,417.7,225
  3,427.562,226
  3,434.673,227
  3,443.423,228
  3,451.135,229
  3,460.781,230
  3,472.731,231
  3,472.936,232
  3,475.925,233
  3,478.098,234
  4,1.092,5
  4,14.574,235
  4,23.542,236
  4,40.122,237
  4,57.381,238
  4,80.739,239
  4,92.564,240
  4,106.588,241
  4,124.828,242
  4,153.65,243
  4,160.588,244
  4,170.479,245
  4,206.688,246
  4,224.05,63
  6,14.763,247
  6,21.48,248
  6,25.01,249
  6,27.715,250
  6,31.03,251
  6,34.814,252
  6,37.802,253
  6,41.089,254
  6,43.154,255
  6,48.335,256
  6,53.155,257
  6,55.208,258
  6,58.48,259
  6,63.622,260
  6,68.683,261
  6,72.489,262
  6,73.128,263
  6,81.703,264
  6,87.969,265
  6,96.249,266
  6,99.195,267
  6,102.968,268
  6,111.848,269
  6,118.077,270
  6,120.8,271
  6,127.383,272
  6,132.792,273
  6,135.803,274
  6,140.474,275
  6,146.107,276
  6,150.575,277
  6,154.035,278
  6,156.265,279
  6,160.117,280
  6,163.251,281
  6,167.107,282
  6,168.996,283
  6,172.222,284
  6,172.5,285
  6,173.57,286
  6,177.305,287
  6,185.155,288
  6,191.278,289
  6,195.28,290
  6,199.178,291
  6,203.118,292
  6,207.525,293
  6,211.791,294
  6,212.806,295
  6,218.527,296
  6,225.58,297
  6,227.838,298
  6,228.32,299
  6,230.146,300
  6,234.635,301
  6,238.574,302
  7,4.254,80
  7,8.334,303
  7,10.776,304
  7,12.569,305
  7,13.928,306
  7,15.129,307
  7,17.55,308
  7,19.195,309
  7,20.581,310
  7,22.39,311
  7,23.991,312
  7,25.93,313
  7,27.569,314
  7,30.051,315
  7,33.251,316
  7,34.955,317
  7,38.758,318
  7,42.26,319
  7,43.676,320
  7,46.356,321
  7,50.452,322
  7,54.345,323
  7,60.44,324
  7,61.266,325
  7,66.589,326
  7,70.103,327
  7,72.814,328
  7,74.365,329
  7,76.57,330
  7,80.772,331
  7,84.715,332
  7,87.945,333
  7,90.088,334
  7,93.214,335
  7,98.11,336
  7,103.282,337
  7,107.011,338
  7,107.91,339
  7,109.103,340
  7,113.726,341
  7,117.885,342
  7,121.58,343
  7,123.966,344
  7,126.777,345
  7,129.688,346
  7,135.9,347
  7,140.767,348
  7,145.32,349
  7,149.025,350
  7,151.87,351
  7,152.469,352
  7,154.609,353
  7,160.05,354
  7,164.17,355
  7,167.779,356
  7,170.337,357
  7,171.519,358
  7,174.973,359
  7,177.42,360
  7,178.015,361
  7,182.09,362
  7,185.244,363
  7,186.062,364
  7,187.48,365
  7,191.018,366
  7,192.89,367
  7,196.813,368
  7,201.843,369
  7,207.155,370
  7,211.731,371
  7,216.955,372
  7,219.699,373
  7,220.144,374
  7,224.04,375
  7,229.286,376
  7,238.219,377
  7,245.848,378
  7,246.573,379
  7,248.419,380
  7,250.459,381
  7,251.814,382
  7,257.551,383
  7,263.781,384
  7,269.508,385
  7,271.533,386
  8,3.082,1
  8,6.167,387
  8,8.032,388
  8,9.073,389
  8,10.754,390
  8,12.388,391
  8,16.5,392
  8,18.55,393
  8,20.655,394
  8,23.835,395
  8,28.618,396
  8,32.162,397
  8,35.61,398
  8,36.701,399
  8,40.26,400
  8,43.011,401
  8,46.563,402
  8,49.709,403
  8,53.087,404
  8,56.284,405
  8,57.849,406
  8,62.347,407
  8,67.78,408
  8,74.835,409
  8,80.5,410
  8,84.581,411
  8,86.589,412
  8,90.162,413
  8,91.909,414
  8,96.463,415
  8,98.67,416
  8,99.475,417
  8,101.223,418
  8,102.944,419
  8,110.015,420
  8,113.254,421
  8,113.254,422
  8,116.78,423
  8,117.543,424
  8,120.7,425
  8,125.123,426
  8,128.639,427
  8,132.513,428
  8,138.68,429
  8,143.442,430
  8,145.85,431
  8,150.037,432
  8,152.404,433
  8,155.099,434
  8,160.271,435
  8,163.303,436
  8,168.023,437
  8,171.297,438
  8,176.198,439
  8,182.06,440
  8,185.5,441
  8,185.865,442
  8,187.672,443
  8,191.87,444
  8,195.368,445
  8,197.33,446
  8,201.955,447
  8,202.246,448
  8,207.761,449
  8,211.877,450
  8,219.49,451
  8,227.408,452
  8,231.665,453
  8,238.263,454
  8,244.543,455
  8,251.232,456
  8,254.285,457
  8,256.243,458
  8,262.098,459
  8,267.778,460
  8,272.194,461
  8,277.343,462
  8,280.724,463
  8,283.934,464
  8,287.322,465
  8,290.541,466
  8,292.211,467
  8,295.782,468
  8,298.89,469
  8,301.57,470
  8,304.18,471
  8,307.946,472
  8,310.832,473
  8,313.275,474
  8,317.426,475
  8,319.44,476
  9,4.408,80
  9,7.432,477
  9,10.1,478
  9,10.133,479
  9,12.045,480
  9,14.537,481
  9,16.875,482
  9,19.7,483
  9,25.19,484
  9,27.478,485
  9,29.393,486
  9,30.276,487
  9,36.772,488
  9,40.441,489
  9,44.106,490
  9,48.553,491
  9,53.193,492
  9,55.8,493
  9,60.153,494
  9,63.958,495
  9,66.824,496
  9,71.428,497
  9,75.713,498
  9,79.669,499
  9,85.424,500
  9,95.414,501
  9,98.06,502
  9,106.322,503
  9,110.148,504
  9,113.859,505
  9,117.161,506
  9,122.435,507
  9,128.16,508
  9,130.388,509
  9,136.465,510
  9,140.345,511
  9,148.226,512
  9,153.033,513
  9,158.223,514
  9,162.037,515
  9,166.47,516
  9,168.668,517
  9,173.055,518
  9,175.865,519
  9,178.499,520
  9,183.723,521
  9,189.5,522
  9,195.801,523
  9,203.296,524
  9,208.976,525
  9,211.847,526
  9,219.901,527
  9,225.114,528
  9,232.428,529
  9,242.297,530
  9,249.34,531
  9,253.367,532
  9,262.468,533
  9,269.6,534
  9,272.425,535
  9,277.888,536
  9,279.674,537
