postid,postname,platform,requeststop,loadingpoint,idcategory
1,Warszawa Zachodnia,1,0,0,1
2,Warszawa W³ochy,1,0,0,2
3,Józefinów,0,0,0,3
4,Pruszków,1,0,1,1
5,Grodzisk Mazowiecki,1,0,0,1
6,Jaktorów,1,0,0,4
7,Miêdzyborów,1,0,0,4
8,¯yrardów,1,0,1,1
9,Sucha ¯yrardowska,1,0,0,4
10,Jesionka,1,0,0,4
11,Radziwi³³ów Mazowiecki,0,0,0,3
12,Radziwi³³ów Mazowiecki,1,0,0,4
13,Skierniewice Rawka,1,0,0,4
14,Skierniewice,1,0,1,1
15,D¹browice Skierniewickie,1,0,0,4
16,Maków,1,0,0,4
17,P³yæwia,1,0,0,1
18,Lipce Reymontowskie,1,0,0,4
19,Krosnowa,1,0,0,4
20,Przy³êk Du¿y,1,0,0,4
21,Rogów,1,0,1,1
22,W¹gry,1,0,0,4
23,Koluszki,1,0,0,1
24,Chrusty Nowe,1,0,0,4
25,Rokiciny,1,0,0,1
26,£aznów,1,0,0,4
27,Wolbórka,1,0,0,4
28,Baby,1,0,0,1
29,Moszczenica,1,0,0,4
30,Jarosty,1,0,0,4
31,Piotrków Trybunalski,1,0,1,1
32,Milejów,1,0,0,4
33,Rozprza,1,0,1,1
34,Luci¹¿anka,1,0,0,4
35,Wilkoszewice,1,0,0,4
36,Gorzkowice,1,0,0,1
37,Gorzêdów,1,0,0,4
38,Kamieñsk,1,0,0,4
39,Gomunice,1,0,0,1
40,Dobryszyce ko³o Radomska,1,0,0,4
41,Radomsko,1,0,1,1
42,Bobry,1,0,0,4
43,Widzów Teklinów,1,0,0,1
44,Jacków,1,0,0,4
45,K³omnice,1,0,1,1
46,Rzerzêczyce,1,0,0,4
47,Rudniki ko³o Czêstochowy,1,0,0,1
48,Wyczerpy,0,0,0,3
49,Czêstochowa Anio³ów,1,0,0,4
50,Czêstochowa,1,0,0,1
51,Czêstochowa Towarowa,0,0,0,5
52,Czêstochowa Raków,1,0,0,4
53,Korwinów,1,0,0,4
54,Poraj,0,0,1,5
55,Poraj,1,0,0,4
56,Mas³oñskie Natalin,1,0,0,4
57,¯arki-Letnisko,1,0,0,4
